title,price,address,bedrooms,bathrooms,area,area_lot
"House for Sale","$259,000","815 Pershing Ave, Orlando, FL 32806","2bed","1bath","872sqft","0,27acre lot"
"Condo","$195,000","911 N Orange Ave Apt 116, Orlando, FL 32801","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$134,900","2531 N Hastings St, Orlando, FL 32808","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$269,900","1310 Tyler Lake Cir, Orlando, FL 32839","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$659,900","2225 Grayling St, Orlando, FL 32820","2bed","1bath","872sqft","0,27acre lot"
"Condo","$225,000","322 E Central Blvd Unit 1808, Orlando, FL 32801","2bed","1bath","872sqft","0,27acre lot"
"Condo","$151,000","3272 Candle Ridge Ct Unit 204, Orlando, FL 32822","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$279,900","1311 Edmundshire Ln, Orlando, FL 32806","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$148,500","4816 Deauville Dr, Orlando, FL 32808","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$335,000","8037 Sandberry Blvd, Orlando, FL 32819","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$285,000","15353 Perdido Dr, Orlando, FL 32828","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$189,900","4505 Robbins Ave, Orlando, FL 32808","2bed","1bath","872sqft","0,27acre lot"
"Condo","$99,900","1653 W Oak Ridge Rd Unit 1653D, Orlando, FL 32809","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$369,000","5729 Labelle St, Orlando, FL 32809","2bed","1bath","872sqft","0,27acre lot"
"Condo","$129,900","","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$340,000","6485 Winder Oaks Blvd, Orlando, FL 32819","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$240,000","7183 Marvista Ct, Orlando, FL 32835","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$249,900","2201 Canonero Ct, Orlando, FL 32825","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$229,900","1023 Ibsen Ave, Orlando, FL 32809","2bed","1bath","872sqft","0,27acre lot"
"Condo","$144,300","6165 Carrier Dr Unit 1601, Orlando, FL 32819","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$299,900","10468 Andover Point Cir, Orlando, FL 32825","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$349,900","12672 Old Plantation Ln, Orlando, FL 32824","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$1,500,000","233 Harbour Gardens Ct, Orlando, FL 32806","2bed","1bath","872sqft","0,27acre lot"
"Condo","$119,000","3209 Parkchester Square Blvd Apt 203, Orlando, FL 32835","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$369,900","20 W Spruce St, Orlando, FL 32804","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$399,500","12895 Lower River Blvd, Orlando, FL 32828","2bed","1bath","872sqft","0,27acre lot"
"Mfd/Mobile Home","$218,000","4000 Volusia Dr, Orlando, FL 32822","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$325,000","2907 Conway Gardens Rd, Orlando, FL 32806","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$389,000","3927 Muzante Ct, Orlando, FL 32817","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$474,900","4151 Conway Place Cir, Orlando, FL 32812","2bed","1bath","872sqft","0,27acre lot"
"Townhome","$415,000","740 N Fern Creek Ave, Orlando, FL 32803","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$345,000","13300 Lake Turnberry Cir, Orlando, FL 32828","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$549,000","1735 Gay Dr, Orlando, FL 32803","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$549,500","3643 King George Dr, Orlando, FL 32835","2bed","1bath","872sqft","0,27acre lot"
"Condo","$140,000","5319 Hansel Ave Unit 7, Orlando, FL 32809","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$395,000","10424 Winwick Ln, Orlando, FL 32832","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$405,949","13821 Lippman Aly, Orlando, FL 32827","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","$1,300,000","7969 Chilton Dr, Orlando, FL 32836","2bed","1bath","872sqft","0,27acre lot"
"Townhome","$425,000","8454 Karrer Ter, Orlando, FL 32827","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","From $452,990","Laureate Park at Lake Nona - Village Series 13575 Granger Ave, Orlando, FL 32827","2bed","1bath","872sqft","0,27acre lot"
"Condo","$93,500","5761 Gatlin Ave Apt 513, Orlando, FL 32822","2bed","1bath","872sqft","0,27acre lot"
"House for Sale","From $373,990","Storey Park - Innovation Estates 10914 History Avenue, Orlando, FL 32832","2bed","1bath","872sqft","0,27acre lot"
